Marka,Fiyat,İşlemci Tipi,SSD Kapasitesi,Ram (Sistem Belleği),Ekran Kartı,Kapasite,İşletim Sistemi,Ekran Kartı Bellek Tipi,Ekran Kartı Tipi,Garanti Tipi,Ram (Sistem Belleği) Tipi,İşlemci Çekirdek Sayısı,İşlemci Nesli,İşlemci Modeli,Çözünürlük,Power Supply,Kullanım Amacı,Ekran Kartı Hafızası,Temel İşlemci Hızı (GHz),Bağlantılar,Cihaz Ağırlığı,Ekran Boyutu,İşlemci Frekansı,Ekran Yenileme Hızı,Panel Tipi,Menşei,Arttırılabilir Azami Bellek
HP,21640.19,Intel Core i3,256 GB,48 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,,,,,,64 GB
HP,33052.62,Intel Core i5,512 GB,40 GB,Nvidia GeForce GTX 1650,Yok,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,35799.87,AMD Ryzen 3,4 TB,8 GB,NVIDIA GeForce GT1030,Yok,Windows,GDDR5,Harici,HP Türkiye Garantili,DDR4,4,5. Nesil,5300G,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
HP,21476.26,Intel Core i3,1 TB,16 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,,,,,,64 GB
HP,36411.73,AMD Ryzen 3,4 TB,8 GB,AMD Radeon RX550,Yok,Windows,GDDR5,Harici,HP Türkiye Garantili,DDR4,4,5. Nesil,5300G,,,Ofis - İş,4 GB ve altı,,USB,,,,,,,64 GB
HP,26004.01,Intel Core i5,256 GB,8 GB,Intel UHD Graphics 770,256 GB,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,24624.54,Intel Core i5,512 GB,12 GB,Intel UHD Graphics 770,512 GB,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,38925.58,Intel Core i5,2 TB,32 GB,Nvidia GeForce GT 730,2 TB,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,31120.48,Intel Core i5,,,Nvidia GeForce GT 730,2 TB,Windows,DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,,,,,,,64 GB
HP,31751.03,Intel Core i5,512 GB,40 GB,NVIDIA GeForce GT1030,512 GB,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,34055.86,Intel Core i5,2 TB,12 GB,Nvidia GeForce GT 730,2 TB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,26526.87,Intel Core i5,256 GB,12 GB,NVIDIA GeForce GT1030,256 GB,Windows,GDDR5,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,37546.11,Intel Core i5,2 TB,40 GB,Nvidia GeForce GTX 1650,2 TB,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,34432.08,Intel Core i5,512 GB,32 GB,Nvidia GeForce GTX 1650,512 GB,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,31098.23,Intel Core i5,2 TB,8 GB,Intel UHD Graphics 770,2 TB,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,Paylaşımlı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,34055.86,Intel Core i5,2 TB,8 GB,Nvidia GeForce GT 730,2 TB,Free Dos (İşletim Sistemi Yok),DDR3,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
HP,33591.06,Intel Core i5,512 GB,24 GB,Nvidia GeForce GTX 1650,512 GB,Windows,GDDR6,Dahili,HP Türkiye Garantili,DDR4,20,13. Nesil,13500,,,Ofis - İş,4 GB ve altı,1.8,USB,Belirtilmemiş,,,,,,64 GB
MSI,41499.78,Intel Core i5,1 TB,48 GB,Intel UHD Graphics 730,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400,,500 W ve üstü,,,,,,23.8 inç,,,,,
MSI,37699.78,Intel Core i5,2 TB,32 GB,Intel UHD Graphics 730,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,6,12. Nesil,12400,,500 W ve üstü,,,,,,,,,,,
Tiranozor,23500.0,Intel Core i7,256 GB,8 GB,Nvidia GeForce GT 730,Belirtilmemiş,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR4,12+,12. Nesil,12700K,,,,,,,,,,,,,
LENOVO,72472.0,Intel Core i9,1 TB,64 GB,NVIDIA RTX A2000,Yok,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR4,8,11. Nesil,Belirtilmemiş,,500 W ve üstü,,12 GB,2.5,,,,,,,,
TURBOX,14751.0,Intel Core i7,256 GB,16 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,4,6. Nesil,Belirtilmemiş,1920 x 1080,180 - 250 W,Ofis - İş,Paylaşımlı,,USB,,27 inç,,,VA,,32 GB
TURBOX,14355.0,Intel Core i5,256 GB,8 GB,Intel HD Graphics,512 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,Resmi Distribütör Garantili,DDR4,4,6. Nesil,Belirtilmemiş,1920 x 1080,180 - 250 W,Ofis - İş,Paylaşımlı,,USB,,27 inç,,,VA,,32 GB
HP,39878.18,Intel Core i3,4 TB,32 GB,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,23.8 inç,,,,,64 GB
HP,26724.33,Intel Core i3,512 GB,20 GB,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,23.8 inç,,,,,64 GB
HP,38436.42,Intel Core i3,4 TB,16 GB,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,23.8 inç,,,,,64 GB
HP,36456.22,Intel Core i3,4 TB,16 GB,Dahili Ekran Kartı,Yok,Windows,Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,23.8 inç,,,,,64 GB
HP,26232.21,Intel Core i3,1 TB,8 GB,Dahili Ekran Kartı,Yok,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,Paylaşımlı,1.7,USB,,23.8 inç,,,,,64 GB
HP,38301.18,Intel Core i3,4 TB,12 GB,NVIDIA GeForce GT1030,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,23.8 inç,,,,,64 GB
HP,40623.5,Intel Core i3,4 TB,32 GB,NVIDIA GeForce GT1030,Yok,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,23.8 inç,,,,,64 GB
HP,41217.6,Intel Core i3,4 TB,20 GB,NVIDIA GeForce GT1030,Yok,Windows,GDDR5,Harici,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,23.8 inç,,,,,64 GB
HP,41324.4,Intel Core i3,4 TB,48 GB,Nvidia GeForce GT 730,Yok,Windows,DDR3,Harici,HP Türkiye Garantili,DDR4,8,12. Nesil,12100,,,Ofis - İş,4 GB ve altı,1.7,USB,,23.8 inç,,,,,64 GB
